Item,Size,Destination,Source
Soup - Campbellschix Stew,193,New Westminster,Toronto
Yogurt - Blueberry 175 Gr,22,Vancouver,California
Campari,74,New Westminster,California
Papadam,166,Vancouver,Toronto
Yoplait Drink,29,Surrey,California
Puree - Strawberry,116,New Westminster,Calgary
Compound - Passion Fruit,129,Surrey,Calgary
Cheese - Briedanish,79,Vancouver,California
Bowl 12 Oz - Showcase 92012,90,Burnaby,California
Wine - Shiraz Wolf Blass Premium,59,Vancouver,California
Gingerale - Schweppes 355 Ml,120,New Westminster,California
Crab - Soft Shell,79,Vancouver,California
Sword Pick Asst,128,New Westminster,Toronto
Yucca,27,New Westminster,Toronto
Cod - Black Whole Fillet,55,Surrey,California
Beef - Kobe Striploin,92,Burnaby,California
Muffin Chocolate Individual Wrap,79,Burnaby,California
Apple - Custard,142,New Westminster,Toronto
Milk - Buttermilk,61,Vancouver,Calgary
Spinach - Packaged,61,Surrey,Toronto
Bacardi Mojito,156,Burnaby,California
Peppercorns - Green,74,Surrey,Calgary
Scrubbie - Scotchbrite Hand Pad,189,Vancouver,Calgary
Mousse - Passion Fruit,174,Burnaby,Calgary
Shiratamako - Rice Flour,110,New Westminster,Calgary
Syrup - Golden Lyles,171,Vancouver,California
Doilies - 7 Paper,179,Burnaby,Toronto
Chinese Foods - Chicken Wing,88,New Westminster,California
Hot Chocolate - Individual,112,Burnaby,Calgary
Soup V8 Roasted Red Pepper,184,Vancouver,Toronto
Bread - Rolls Corn,133,Surrey,California
Tart Shells - Savory 4,157,Vancouver,California
Lamb - Whole Frozen,47,Vancouver,Toronto
Nantucket - Orange Mango Cktl,128,Burnaby,California
Wine - Kwv Chenin Blanc South,170,Vancouver,California
Tea - Lemon Green Tea,109,Burnaby,California
Pastry - Raisin Muffin - Mini,99,Surrey,California
Juice - Propel Sport,188,New Westminster,Toronto
Juice - Ocean Spray Cranberry,142,Burnaby,California
Soup - Campbells Chicken,168,Surrey,Calgary
Shrimp - 21/25 Peel And Deviened,170,Surrey,Toronto
Pastry - Carrot Muffin - Mini,42,Vancouver,Toronto
Wine - Blue Nun Qualitatswein,69,Surrey,Calgary
Ice Cream - Chocolate,193,Burnaby,California
Oil - Hazelnut,81,Surrey,Toronto
Cup - 4oz Translucent,154,Surrey,Calgary
Salt - Celery,177,Surrey,Calgary
Bread - Crumbs Bulk,178,Vancouver,Calgary
Puree - Blackcurrant,90,Surrey,Toronto
Pepper - Cubanelle,175,Burnaby,California
Chicken - Leg Boneless,100,Burnaby,Toronto
Beef - Striploin,35,New Westminster,Calgary
Coconut - Shredded Sweet,38,Burnaby,California
Rambutan,58,Vancouver,California
Soup - Campbells Tomato Ravioli,14,Vancouver,Calgary
Garlic - Primerba Paste,125,Burnaby,Toronto
Sun - Dried Tomatoes,65,Vancouver,Toronto
Soup - Base Broth Beef,184,Vancouver,Calgary
Pork - Back Long Cut Boneless,143,Burnaby,Calgary
Cheese - Roquefort Pappillon,172,New Westminster,Toronto
Pepper - Black Ground,95,Surrey,Toronto
Soup - Campbells Pasta Fagioli,53,New Westminster,California
Pepper - Sorrano,34,Burnaby,California
Veal - Leg Provimi - 50 Lb Max,98,Surrey,Toronto
Flour Pastry Super Fine,93,Surrey,Toronto
Flour - Semolina,166,New Westminster,Toronto
Lamb - Racks Frenched,163,Surrey,Calgary
Pie Filling - Apple,161,New Westminster,California
Chicken - Tenderloin,139,Surrey,Toronto
Sausage - Andouille,104,Burnaby,Calgary
Fireball Whisky,49,Burnaby,Toronto
Mushrooms - Black Dried,119,Surrey,California
Bread - Corn Muffaleta Onion,116,New Westminster,Calgary
Muffin Batt - Choc Chk,14,Vancouver,Calgary
Flour - Masa De Harina Mexican,149,New Westminster,California
Tea - Mint,176,Vancouver,Toronto
Marjoram - Fresh,33,Vancouver,Calgary
Grenadine,196,Vancouver,California
Chocolate - Milk Callets,185,New Westminster,Calgary
Pasta - Bauletti Chicken White,158,New Westminster,Toronto
Squid - U - 10 Thailand,130,Vancouver,California
Table Cloth 62x114 Colour,87,Surrey,California
Coffee - Flavoured,39,Surrey,California
Grand Marnier,23,Vancouver,Toronto
Tart - Raisin And Pecan,145,Surrey,Calgary
Tea - Herbal - 6 Asst,94,Surrey,Toronto
Mountain Dew,19,Vancouver,Calgary
Pasta - Shells Medium Dry,12,Vancouver,California
Trout - Hot Smkd Dbl Fillet,170,Burnaby,California
Appetizer - Crab And Brie,141,Burnaby,California
Mussels - Frozen,127,New Westminster,Calgary
Nantucket Apple Juice,53,New Westminster,Calgary
Vaccum Bag - 14x20,79,Burnaby,California
Cake - Dulce De Leche,144,Surrey,Toronto
Wine - White Gewurtzraminer,194,Burnaby,Toronto
Onions - Dried Chopped,174,New Westminster,California
Beer - Corona,68,Burnaby,Calgary
Foil - Round Foil,157,Burnaby,Calgary
Wine - Fino Tio Pepe Gonzalez,146,Vancouver,Calgary
Sugar - White Packet,137,Burnaby,Toronto
