
=============== Displaying contents of loaded trucks travelling from origin to warehouse

============== Truck with 24 items going from Calgary to BC Warehouse=============
GroceryItem [itemName=Puree - Strawberry, itemWeight=116, destination=New Westminster, origin=Calgary]
GroceryItem [itemName=Compound - Passion Fruit, itemWeight=129, destination=Surrey, origin=Calgary]
GroceryItem [itemName=Milk - Buttermilk, itemWeight=61, destination=Vancouver, origin=Calgary]
GroceryItem [itemName=Peppercorns - Green, itemWeight=74, destination=Surrey, origin=Calgary]
GroceryItem [itemName=Scrubbie - Scotchbrite Hand Pad, itemWeight=189, destination=Vancouver, origin=Calgary]
GroceryItem [itemName=Shiratamako - Rice Flour, itemWeight=110, destination=New Westminster, origin=Calgary]
GroceryItem [itemName=Soup - Campbells Chicken, itemWeight=168, destination=Surrey, origin=Calgary]
GroceryItem [itemName=Wine - Blue Nun Qualitatswein, itemWeight=69, destination=Surrey, origin=Calgary]
GroceryItem [itemName=Cup - 4oz Translucent, itemWeight=154, destination=Surrey, origin=Calgary]
GroceryItem [itemName=Salt - Celery, itemWeight=177, destination=Surrey, origin=Calgary]
GroceryItem [itemName=Bread - Crumbs Bulk, itemWeight=178, destination=Vancouver, origin=Calgary]
GroceryItem [itemName=Beef - Striploin, itemWeight=35, destination=New Westminster, origin=Calgary]
GroceryItem [itemName=Soup - Campbells Tomato Ravioli, itemWeight=14, destination=Vancouver, origin=Calgary]
GroceryItem [itemName=Soup - Base Broth Beef, itemWeight=184, destination=Vancouver, origin=Calgary]
GroceryItem [itemName=Lamb - Racks Frenched, itemWeight=163, destination=Surrey, origin=Calgary]
GroceryItem [itemName=Bread - Corn Muffaleta Onion, itemWeight=116, destination=New Westminster, origin=Calgary]
GroceryItem [itemName=Muffin Batt - Choc Chk, itemWeight=14, destination=Vancouver, origin=Calgary]
GroceryItem [itemName=Marjoram - Fresh, itemWeight=33, destination=Vancouver, origin=Calgary]
GroceryItem [itemName=Chocolate - Milk Callets, itemWeight=185, destination=New Westminster, origin=Calgary]
GroceryItem [itemName=Tart - Raisin And Pecan, itemWeight=145, destination=Surrey, origin=Calgary]
GroceryItem [itemName=Mountain Dew, itemWeight=19, destination=Vancouver, origin=Calgary]
GroceryItem [itemName=Mussels - Frozen, itemWeight=127, destination=New Westminster, origin=Calgary]
GroceryItem [itemName=Nantucket Apple Juice, itemWeight=53, destination=New Westminster, origin=Calgary]
GroceryItem [itemName=Wine - Fino Tio Pepe Gonzalez, itemWeight=146, destination=Vancouver, origin=Calgary]
=== Truck Weight 2659 kilograms =================================
============== Truck with 25 items going from Toronto to BC Warehouse=============
GroceryItem [itemName=Soup - Campbellschix Stew, itemWeight=193, destination=New Westminster, origin=Toronto]
GroceryItem [itemName=Papadam, itemWeight=166, destination=Vancouver, origin=Toronto]
GroceryItem [itemName=Sword Pick Asst, itemWeight=128, destination=New Westminster, origin=Toronto]
GroceryItem [itemName=Yucca, itemWeight=27, destination=New Westminster, origin=Toronto]
GroceryItem [itemName=Apple - Custard, itemWeight=142, destination=New Westminster, origin=Toronto]
GroceryItem [itemName=Spinach - Packaged, itemWeight=61, destination=Surrey, origin=Toronto]
GroceryItem [itemName=Soup V8 Roasted Red Pepper, itemWeight=184, destination=Vancouver, origin=Toronto]
GroceryItem [itemName=Lamb - Whole Frozen, itemWeight=47, destination=Vancouver, origin=Toronto]
GroceryItem [itemName=Juice - Propel Sport, itemWeight=188, destination=New Westminster, origin=Toronto]
GroceryItem [itemName=Shrimp - 21/25 Peel And Deviened, itemWeight=170, destination=Surrey, origin=Toronto]
